No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency,Arah
1,bmg2025iiba,2025-04-29T05:52:51.142687Z,1.5666052103042605,126.40943908691406,2.652052849149353,M,24,6,160.42999267578125,Northern Molucca Sea,BMKG,Utara
2,bmg2025iiah,2025-04-29T05:31:45.309164Z,-4.396719932556152,103.36457824707033,2.4326543650277674,M,10,8,149.91756439208984,"Southern Sumatra, Indonesia",BMKG,Selatan
3,bmg2025iiag,2025-04-29T05:30:14.440801Z,-7.815744400024414,118.9591522216797,2.782745524985795,M,24,12,249.89833068847656,Flores Sea,BMKG,Timur
4,bmg2025ihzi,2025-04-29T05:02:35.927022Z,-9.692667007446287,119.1554718017578,2.538636738640178,M,19,8,203.7682113647461,"Sumba Region, Indonesia",BMKG,Timur
5,bmg2025ihyw,2025-04-29T04:48:20.312543Z,-2.495701789855957,120.78238677978516,1.380004160504899,M,33,8,177.96441650390625,"Sulawesi, Indonesia",BMKG,Timur
6,bmg2025ihyi,2025-04-29T04:31:53.975416Z,-3.059330940246582,130.5548095703125,2.4673141201872,M,10,5,146.39449310302734,"Seram, Indonesia",BMKG,Timur
7,bmg2025ihxb,2025-04-29T03:53:46.939921Z,4.20121431350708,126.0829086303711,2.6812268148626544,M,114,7,96.827392578125,"Talaud Islands, Indonesia",BMKG,Timur
8,bmg2025ihww,2025-04-29T03:47:09.829903Z,-3.360956907272339,128.40728759765625,3.179145118600507,M,10,9,124.85453033447266,"Seram, Indonesia",BMKG,Timur
9,bmg2025ihvq,2025-04-29T03:09:57.132674Z,-3.058983564376831,130.55892944335938,2.558941523367546,M,10,5,148.00267791748047,"Seram, Indonesia",BMKG,Timur
10,bmg2025ihug,2025-04-29T02:28:38.539229Z,-9.215038299560549,119.04985809326172,2.40236830555769,M,76,14,207.6051025390625,"Sumba Region, Indonesia",BMKG,Timur
11,bmg2025ihua,2025-04-29T02:21:04.858161Z,-7.766568660736084,118.500244140625,2.4825494158343315,M,18,11,288.4207763671875,Flores Sea,BMKG,Timur
12,bmg2025ihta,2025-04-29T01:50:38.483736Z,-8.224716186523438,124.12366485595705,2.508080959437711,M,10,13,171.56182098388672,Timor Region,BMKG,Timur
13,bmg2025ihpn,2025-04-29T00:04:30.761898Z,-2.2997584342956543,120.99179077148438,1.5574944286068737,MLv,11,10,196.3303375244141,"Sulawesi, Indonesia",BMKG,Timur
